,target_distance, accel_crnt, acceleration
0, very_low, strong positive, strong negative
1, very_low, positive, strong negative
2, very_low, zero, negative
3, very_low, negative, negative
4, very_low, strong negative, negative
5, low, strong positive, strong negative
6, low, positive, strong negative
7, low, zero, negative
8, low, negative, negative
9, low, strong negative, zero
10, medium, strong positive, negative
11, medium, positive, zero
12, medium, zero, zero
13, medium, negative, positive
14, medium, strong negative, positive
15, high, strong positive, zero
16, high, positive, positive
17, high, zero, positive
18, high, negative, strong positive
19, high, strong negative, strong positive
20, very high, strong positive, positive
21, very high, positive, positive
22, very high, zero, strong positive
23, very high, negative, strong positive
24, very high, strong negative, strong positive


